Time,DisTankPress,HeadCylPress,CrankCylPress
0.18795,38.73939484,13.77312196,47.886558
0.188,38.72632442,13.81411121,47.86196715
0.18805,38.79821172,13.68499508,47.75130833
0.1881,38.70671879,13.66859938,47.73081595
0.18815,38.76553567,13.63785744,47.64474798
0.1882,38.73285963,13.68294561,47.45826736
0.18825,38.72632442,13.72598433,47.45416889
0.1883,38.67404275,13.66245099,47.34965778
0.18835,38.70671879,13.6071155,47.41318414
0.1884,38.72632442,13.61121443,47.38244558
0.18845,38.69364837,13.59276926,47.29842684
0.1885,38.68711316,13.76492411,47.29842684
0.18855,38.6413667,13.90428756,47.27793446
0.1886,38.66750754,14.0006123,47.36400244
0.18865,38.70018358,13.87559509,47.34965778
0.1887,38.71978921,13.90838649,47.27383599
0.18875,38.70018358,13.95552413,47.2144081
0.1888,38.65443712,13.86329831,47.04022291
0.18885,38.67404275,13.90633703,46.9684996
0.1889,38.72632442,13.89608971,47.00743511
0.18895,38.713254,13.90018864,46.81480679
0.189,38.55640898,13.90018864,46.90702248
0.18905,38.68057795,13.9022381,46.91726866
0.1891,38.65443712,13.86534778,46.86603773
0.18915,38.61522586,13.7874682,46.72668958
0.1892,38.62176107,13.8038639,46.74103424
0.18925,38.60869065,13.84075423,46.59348914
0.1893,38.62176107,13.89608971,46.39061463
0.18935,38.58254982,13.9678209,46.2635619
0.1894,38.59562024,13.86534778,46.29839894
0.18945,38.53680335,13.79156713,46.42545166
0.1895,38.54333856,13.8202596,46.42955014
0.18955,38.52373294,13.9842166,46.29430046
0.1896,38.51719773,13.96372198,46.15905079
0.18965,38.46491605,13.9022381,46.10577061
0.1897,38.49105689,13.89813918,46.0340473
0.18975,38.48452168,13.93912843,45.98691484
0.1898,38.54987377,13.58047249,45.94388085
0.18985,38.50412731,13.82845745,45.80863118
0.1899,38.45838084,13.81001229,45.62215056
0.18995,38.47798647,13.88174348,45.5750181
0.19,38.49105689,13.91453488,45.6078059
0.19005,38.45838084,13.9350295,45.72051396
0.1901,38.45838084,13.88379294,45.73280939
0.19015,38.44531043,14.01495854,45.51149174
0.1902,38.34728229,14.00471123,45.49509784
0.19025,38.36035271,14.04160155,45.43362071
0.1903,38.36688792,13.93093058,45.40698063
0.19035,38.34074708,13.9678209,45.29222333
0.1904,38.33421187,13.94117789,45.25328781
0.19045,38.39302875,13.86329831,45.17951526
0.1905,38.33421187,13.87354563,45.2307462
0.19055,38.30153583,13.87149616,45.10779195
0.1906,38.3538175,13.91658434,45.02582245
0.19065,38.39956396,14.00471123,45.16107213
0.1907,38.3538175,13.91658434,45.1323828
0.19075,38.30807103,13.82435853,45.14057975
0.1908,38.25578936,13.87969401,45.01967474
0.19085,38.27539499,13.92888111,44.96434533
0.1909,38.23618373,13.91043595,44.75122463
0.19095,38.32767666,13.93912843,44.66720589
0.191,38.30153583,14.28548759,44.5749902
0.19105,38.26885978,13.82435853,44.55449783
0.1911,38.37995834,14.06414564,44.48482375
0.19115,38.30807103,14.09078865,44.53400545
0.1912,38.30153583,14.02110693,44.51146384
0.19125,38.30807103,14.07644241,44.4602329
0.1913,38.26232457,14.0661951,44.43359281
0.19135,38.22964853,14.09693704,44.34342636
0.1914,38.2819302,14.15637145,44.53605469
0.19145,38.19697248,14.02110693,44.40900196
0.1915,38.30153583,13.99651338,44.20407821
0.19155,38.22964853,14.00471123,44.06882854
0.1916,38.2100429,14.02520585,43.88849564
0.19165,38.15776122,14.05799725,43.9684159
0.1917,38.16429643,14.13587683,43.9684159
0.19175,38.15122602,14.02315639,43.94382505
0.1918,38.15776122,14.05799725,43.84956013
0.19185,38.17083164,14.03750263,43.788083
0.1919,38.12508518,14.08054134,43.59340544
0.19195,38.16429643,14.09283811,43.50733746
0.192,38.10547955,14.10103596,43.41922025
0.19205,38.12508518,14.11743166,43.39053093
0.1921,38.08587392,14.16661876,43.40897406
